Gender,Age_Group,Income_Level,Shop_Frequency,Product_Type,Salary,Monthly_Purchase
2,2,2,3,3,58257,10
2,3,3,3,5,85537,11
1,2,3,2,7,76736,3
2,3,3,3,5,73559,10
1,3,2,2,6,36710,3
2,2,1,2,5,17342,3
1,3,2,2,6,37043,4
1,1,3,1,4,86323,1
1,3,2,2,2,33237,4
2,3,3,3,5,99959,9
1,3,2,2,2,53830,4
2,2,1,2,4,10348,5
1,1,3,1,4,83787,0
1,1,1,1,1,18940,1
1,2,3,2,6,77011,3
1,1,3,1,5,79302,0
1,1,3,1,5,68004,0
1,1,1,1,1,20433,0
2,2,1,2,3,19647,5
1,2,3,2,6,69201,5
1,1,3,1,4,75776,1
2,3,3,3,6,75659,10
2,1,1,1,1,22820,1
2,3,2,2,4,58089,5
1,1,1,1,1,23245,0
2,2,2,3,1,59795,11
2,3,2,2,2,59232,5
2,3,3,3,7,63624,9
2,2,1,2,5,19142,5
2,1,1,1,2,20718,1
2,3,2,2,6,59059,5
1,2,3,2,6,92349,3
2,2,1,2,4,21465,3
1,2,3,2,7,74013,3
2,2,2,3,1,59163,7
1,3,2,2,4,55801,3
1,2,2,3,4,58235,7
1,1,3,1,4,87073,0
2,3,3,3,6,82993,9
2,1,1,1,2,14579,0
2,1,1,1,2,29050,0
2,3,2,2,2,53707,5
2,2,2,3,3,49547,8
2,3,2,2,4,37735,5
2,3,2,2,4,39500,3
1,1,1,1,2,24578,1
2,2,2,3,3,40412,11
1,1,1,1,1,15124,1
1,2,2,3,4,37708,7
1,3,2,2,2,38309,5
1,2,3,2,6,88548,4
2,2,2,3,3,51056,14
2,2,2,3,4,46295,12
2,3,3,3,7,75722,12
1,2,3,2,7,97418,5
2,1,1,1,2,17888,0
1,2,2,3,4,34590,9
2,2,1,2,4,17127,5
1,1,3,1,5,75360,0
1,3,2,2,4,58072,5
1,3,2,2,6,38321,3
1,3,2,2,2,55137,3
1,2,3,2,6,60173,3
1,2,2,3,4,39510,11
2,3,3,3,7,66604,11
1,1,3,1,5,85671,0
2,2,1,2,5,25810,3
2,3,3,3,7,85570,7
1,1,1,1,2,23245,0
1,1,3,1,5,87313,1
1,1,1,1,2,20578,0
1,2,3,2,6,89078,5
2,1,1,1,2,27118,0
2,1,1,1,1,29367,0
1,3,2,2,6,38103,4
1,3,2,2,4,31488,3
1,2,2,3,1,44522,7
2,3,2,2,6,46328,5
1,1,1,1,1,28733,0
1,1,1,1,1,14681,1
2,1,1,1,2,24739,1
1,2,2,3,3,48151,14
2,2,1,2,5,28667,3
2,2,1,2,5,20838,5
2,2,1,2,3,18691,3
1,2,2,3,4,58276,7
2,2,2,3,1,58201,12
1,3,2,2,4,40363,3
2,3,2,2,4,37550,5
1,3,2,2,4,41260,3
1,1,1,1,2,25465,0
1,2,2,3,1,43085,12
1,2,3,2,7,69111,4
2,3,2,2,2,31083,4
2,3,2,2,6,31759,3
2,1,1,1,1,15077,0
1,1,3,1,3,90132,1
2,3,3,3,5,99549,8
1,3,2,2,2,41991,3
1,3,2,2,4,57999,5
1,1,1,1,2,13974,0
1,2,2,3,3,35296,10
2,3,2,2,2,57894,4
1,3,2,2,4,53837,3
2,2,2,3,1,44265,7
2,2,1,2,5,17443,4
1,3,2,2,4,47228,4
2,1,1,1,2,17661,1
1,2,3,2,7,69584,5
1,2,3,2,7,79486,4
1,2,3,2,6,79529,3
1,2,2,3,1,43919,10
2,3,3,3,5,80347,7
2,2,1,2,3,28533,5
2,3,3,3,7,85838,11
2,3,3,3,5,80229,12
2,3,2,2,2,51049,5
1,1,1,1,1,16841,0
1,2,3,2,6,94809,4
1,1,1,1,1,17103,1
2,3,3,3,5,85059,7
1,1,1,1,2,14656,0
1,1,1,1,2,29807,0
2,2,1,2,4,26586,4
1,1,1,1,1,22728,1
1,3,2,2,2,44009,5
2,2,2,3,1,51932,8
2,2,2,3,1,53145,7
2,2,2,3,4,52044,13
1,2,2,3,3,42811,13
1,3,2,2,6,33748,5
1,3,2,2,2,38285,3
1,2,2,3,4,32723,10
2,1,1,1,2,16549,0
1,1,1,1,2,15568,0
1,2,3,2,6,88339,4
1,2,3,2,7,78190,4
1,1,1,1,1,27367,0
1,1,3,1,5,68790,0
2,2,1,2,4,11078,3
1,3,2,2,2,31457,5
1,1,3,1,3,61330,0
2,1,1,1,1,11966,1
2,2,2,3,3,46037,13
1,2,2,3,4,48110,11
2,3,2,2,6,45889,4
1,1,3,1,4,89545,0
2,1,1,1,1,21971,0
1,2,3,2,7,77139,5
2,3,3,3,7,83697,14
1,2,2,3,3,53532,12
2,2,1,2,3,26059,3
1,1,1,1,1,25804,0
2,1,1,1,1,14668,0
1,2,3,2,7,82257,5
1,2,3,2,7,89605,3
1,2,3,2,7,93494,3
1,3,2,2,4,52551,5
2,1,1,1,1,20132,1
2,1,1,1,1,13598,1
2,2,1,2,3,14716,4
2,2,1,2,5,13503,3
2,3,2,2,6,46808,5
2,3,2,2,2,46849,3
1,2,2,3,3,46173,7
1,2,2,3,4,48077,12
2,2,2,3,4,42453,9
2,2,2,3,1,45924,10
2,3,2,2,2,53308,5
2,3,2,2,6,40066,3
2,3,2,2,6,33898,5
1,1,1,1,2,16950,1
2,2,2,3,1,37591,7
1,2,3,2,7,73457,5
2,3,3,3,5,72425,7
2,3,2,2,4,47643,4
1,2,2,3,3,43187,7
1,3,2,2,4,51143,3
2,3,2,2,6,50357,5
2,1,1,1,1,27673,0
2,1,1,1,2,19364,0
1,1,3,1,5,64909,1
1,2,3,2,6,97176,5
2,1,1,1,1,16244,1
1,2,2,3,4,32395,13
1,2,3,2,7,82984,5
2,3,2,2,4,34017,4
2,2,1,2,5,29747,5
2,3,2,2,4,34533,3
2,3,3,3,7,81690,7
1,1,1,1,1,19510,0
1,2,3,2,7,92916,4
2,3,2,2,2,54648,4
1,1,1,1,1,19332,1
2,3,2,2,4,48719,4
2,3,3,3,5,95107,12
1,2,2,3,1,30348,12
2,3,3,3,6,90880,9
1,1,1,1,1,10893,1
2,2,1,2,3,22959,4
1,1,3,1,5,97665,0
2,2,1,2,4,10075,4
2,1,1,1,2,14857,0
1,3,2,2,2,53122,4
2,3,3,3,5,96212,8
1,1,1,1,1,19493,1
1,2,2,3,3,41095,10
2,2,1,2,5,25837,3
2,2,1,2,5,26076,3
2,3,2,2,4,31829,5
1,2,2,3,4,55804,13
1,1,1,1,1,29809,1
2,2,1,2,5,13343,4
1,1,3,1,4,71939,0
2,2,2,3,1,30788,13
2,3,2,2,6,42547,3
1,3,2,2,2,55885,5
2,3,3,3,5,60492,8
2,3,2,2,6,56133,3
2,1,1,1,2,12322,0
1,1,1,1,2,27798,0
2,2,2,3,3,34905,13
2,2,2,3,1,41077,8
2,2,2,3,3,53609,10
1,2,2,3,4,53042,11
1,2,3,2,6,85453,4
2,3,3,3,6,76029,7
2,3,2,2,6,33352,4
2,2,2,3,1,50028,14
1,1,1,1,2,18280,1
2,1,1,1,2,15971,1
2,3,2,2,2,34020,5
2,3,2,2,2,47138,4
2,1,1,1,2,13764,0
2,2,2,3,3,48064,13
2,1,1,1,2,16155,1
1,2,2,3,3,58319,9
2,2,1,2,4,14854,5
1,2,2,3,4,30017,13
1,2,3,2,6,83431,3
1,3,2,2,2,35366,5
1,2,2,3,1,36783,10
2,3,2,2,6,48129,5
2,2,1,2,4,17549,5
1,1,3,1,4,90875,1
1,2,3,2,6,90858,3
2,2,2,3,1,59874,14
1,1,3,1,5,89074,0
1,1,1,1,1,14196,1
1,3,2,2,4,31462,3
1,3,2,2,6,56004,4
1,3,2,2,2,50444,3
2,2,1,2,5,12323,4
1,3,2,2,6,35718,5
2,3,2,2,4,51501,5
2,2,1,2,3,14907,4
1,3,2,2,2,39720,3
1,3,2,2,4,39934,5
1,3,2,2,2,57554,4
2,3,3,3,5,62847,8
2,2,1,2,4,12236,5
1,2,2,3,4,55185,12
1,3,2,2,2,36528,5
2,2,1,2,5,29970,3
2,3,2,2,4,40848,5
1,2,2,3,3,48491,14
1,1,3,1,5,71415,1
1,1,1,1,2,20685,1
2,2,1,2,3,16089,3
1,2,3,2,6,65781,3
2,1,1,1,2,23847,0
2,2,1,2,5,20794,4
1,2,3,2,7,84013,5
2,1,1,1,2,28920,1
2,2,2,3,3,51751,9
2,3,2,2,4,43532,4
1,2,2,3,3,31255,10
1,2,3,2,7,83166,3
1,1,1,1,1,28560,0
1,2,2,3,3,32934,7
1,2,2,3,4,48963,11
2,3,2,2,4,31956,3
1,1,1,1,2,14855,1
1,2,3,2,6,74054,4
1,2,3,2,7,82636,5
1,3,2,2,4,43554,3
1,1,3,1,3,89184,1
2,3,3,3,5,66760,13
1,1,1,1,1,18849,0
2,3,2,2,6,52088,5
1,1,1,1,2,11689,0
1,2,2,3,4,34069,9
1,3,2,2,6,58080,4
2,2,1,2,5,23627,3
2,3,2,2,2,52347,5
2,1,1,1,1,19114,0
1,3,2,2,4,31289,3
1,2,2,3,4,34881,13
2,2,2,3,1,36315,13
2,3,3,3,6,99118,11
2,3,2,2,2,51279,4
1,1,3,1,5,71302,0
1,3,2,2,6,39435,4
2,3,2,2,6,53431,5
1,1,1,1,1,22165,1
2,2,2,3,4,51062,14
1,1,3,1,4,84079,1
2,3,3,3,6,96751,8
1,1,3,1,5,97069,1
1,1,1,1,1,11198,0
1,1,3,1,5,89348,0
2,3,2,2,2,41108,3
1,2,3,2,7,93441,5
1,3,2,2,2,51061,4
1,2,3,2,6,66942,4
1,2,3,2,7,74282,5
1,3,2,2,4,48076,5
1,1,3,1,3,79031,1
1,2,3,2,6,74210,5
1,2,3,2,7,64901,4
2,3,3,3,6,67938,10
2,3,3,3,7,81876,12
2,1,1,1,2,24761,1
1,1,1,1,2,26391,1
1,1,3,1,4,87271,0
1,1,1,1,2,25475,0
2,1,1,1,1,25324,1
2,3,3,3,6,83892,14
2,2,1,2,3,13667,5
1,3,2,2,4,33414,4
1,2,3,2,6,74612,3
2,3,3,3,7,80601,7
2,2,2,3,4,58205,8
1,1,3,1,5,71944,1
1,2,3,2,6,68631,3
1,3,2,2,6,34903,4
1,1,1,1,1,22975,1
1,1,3,1,5,69657,0
2,3,2,2,4,58550,4
1,1,3,1,4,61833,1
2,2,1,2,3,27093,3
1,2,2,3,3,35705,7
2,2,2,3,4,30800,8
2,3,3,3,6,74909,14
2,3,3,3,5,90484,10
1,1,3,1,3,76195,1
1,3,2,2,2,55362,5
1,1,3,1,4,69275,0
2,1,1,1,2,18311,1
2,3,3,3,5,99333,7
2,2,1,2,4,13749,5
1,1,3,1,3,63419,0
1,3,2,2,2,47075,3
1,2,2,3,3,30870,8
1,2,2,3,1,41031,10
2,3,2,2,2,58476,3
2,3,3,3,7,80197,12
1,2,3,2,6,67111,3
2,2,1,2,3,18394,3
2,3,2,2,6,35774,3
2,2,2,3,3,40230,7
2,3,2,2,4,35347,4
1,1,3,1,5,97859,0
1,1,3,1,4,66698,1
2,2,2,3,1,48879,8
2,2,1,2,4,18255,4
2,3,2,2,6,35781,3
1,1,1,1,1,14944,0
2,2,2,3,4,36231,13
1,1,1,1,2,24973,1
2,3,3,3,5,72989,9
1,1,1,1,1,28307,1
1,2,2,3,3,56859,13
1,2,2,3,4,47475,14
1,2,2,3,4,57726,12
1,2,2,3,4,30356,8
1,2,2,3,1,59408,10
2,2,1,2,3,14432,3
1,2,2,3,1,54379,9
2,3,2,2,2,52369,5
2,2,2,3,3,34922,13
1,2,2,3,4,52721,13
2,2,2,3,1,57042,7
1,3,2,2,6,32726,5
1,2,2,3,3,33347,7
2,2,1,2,5,14130,5
2,2,1,2,3,24724,3
1,2,2,3,4,53717,12
1,2,3,2,7,85353,5
2,2,2,3,4,50477,13
2,1,1,1,1,25955,1
2,2,2,3,1,39578,13
1,1,1,1,1,11762,1
2,1,1,1,1,16269,0
2,2,2,3,4,47105,14
2,1,1,1,2,26670,0
2,1,1,1,1,12150,1
1,1,3,1,4,81609,0
2,2,1,2,4,23823,3
2,3,3,3,6,87684,7
1,3,2,2,2,31250,3
2,1,1,1,2,27972,0
2,3,3,3,7,93182,11
1,2,3,2,6,77976,5
2,1,1,1,2,26066,1
2,1,1,1,1,16011,0
2,2,2,3,4,49677,10
2,3,2,2,2,31984,5
1,2,3,2,7,82104,4
1,1,3,1,4,86278,1
2,2,2,3,3,50048,11
1,2,3,2,6,91322,5
1,2,2,3,4,40351,8
1,1,3,1,5,83283,1
1,1,3,1,3,70136,0
1,2,3,2,6,89528,5
1,3,2,2,4,34854,5
2,2,2,3,4,33141,7
2,3,2,2,4,38102,4
2,3,2,2,2,49395,3
2,1,1,1,1,11993,0
1,2,3,2,7,81616,4
2,2,2,3,1,45739,7
1,1,1,1,2,19994,1
1,1,1,1,2,29681,1
1,1,3,1,4,60367,1
2,3,3,3,7,94454,13
1,1,3,1,4,94843,0
1,2,3,2,6,85196,5
1,1,1,1,2,27262,1
1,2,3,2,7,65447,4
2,2,1,2,5,12502,5
1,2,3,2,6,93924,4
2,3,2,2,6,44810,5
2,2,2,3,4,39411,8
1,3,2,2,6,32383,5
1,3,2,2,6,45766,5
1,2,3,2,6,70741,3
2,3,2,2,6,48561,3
1,1,1,1,1,26115,0
1,1,3,1,4,62530,0
1,2,2,3,1,34657,8
2,2,2,3,4,51144,8
1,1,1,1,2,21601,0
2,3,2,2,2,49217,4
1,2,2,3,1,36403,8
1,1,1,1,2,26299,1
2,1,1,1,1,20941,0
1,3,2,2,6,42869,3
2,2,1,2,3,17995,3
2,3,3,3,6,71889,10
2,2,2,3,3,45511,12
1,1,1,1,1,14496,1
2,3,3,3,6,63329,10
1,2,3,2,6,74881,5
1,3,2,2,6,35496,3
1,2,3,2,7,75391,4
2,3,3,3,6,88726,10
1,2,2,3,4,51718,10
2,2,2,3,3,57027,7
2,1,1,1,1,15300,0
2,2,2,3,1,46422,10
1,1,1,1,1,27363,0
2,3,3,3,6,95866,8
1,1,1,1,2,24162,1
2,2,1,2,4,10999,4
2,3,2,2,2,40297,3
2,2,2,3,3,34124,11
2,3,2,2,2,50882,5
2,1,1,1,1,14808,1
2,3,2,2,6,46657,5
2,2,2,3,4,34229,12
1,1,3,1,4,98630,0
1,1,1,1,2,25780,0
2,3,2,2,4,46253,5
1,2,2,3,3,47961,10
2,2,2,3,1,54855,7
1,1,3,1,4,65443,1
2,3,2,2,2,44485,5
1,2,2,3,4,44880,14
1,3,2,2,4,48357,5
1,1,3,1,5,67525,0
1,2,3,2,6,84930,3
2,3,3,3,5,94453,13
1,2,3,2,6,97519,3
1,2,3,2,6,61891,4
1,1,1,1,2,26501,0
2,3,2,2,6,48785,3
1,2,3,2,7,70993,5
1,3,2,2,6,45494,4
1,2,2,3,1,34989,8
1,2,3,2,6,64543,5
2,3,3,3,6,70691,13
2,3,2,2,4,36656,3
1,2,2,3,3,32377,12
2,2,2,3,1,31744,14
1,1,1,1,1,13236,0
1,3,2,2,6,36398,5
1,1,3,1,3,99031,1
2,3,3,3,7,70972,9
2,3,3,3,6,66600,10
1,2,2,3,3,43167,7
1,2,2,3,4,59386,10
1,2,3,2,6,82633,4
1,2,3,2,7,68186,3
1,3,2,2,6,59220,5
2,2,1,2,3,14656,4
2,1,1,1,2,19577,0
1,2,3,2,6,79911,4
2,3,3,3,5,78700,7
1,2,3,2,6,95686,3
2,3,2,2,6,54361,4
1,1,1,1,2,17348,0
2,2,1,2,3,27604,5
1,1,1,1,1,23582,0
1,2,3,2,6,84853,3
2,1,1,1,2,15238,1
1,2,2,3,3,43032,12
1,3,2,2,2,31829,5
2,2,1,2,4,19466,5
2,2,1,2,3,21703,5
1,3,2,2,4,57659,3
2,1,1,1,2,18213,1
1,2,3,2,6,69663,3
1,1,1,1,1,20233,0
2,3,3,3,6,85836,13
2,3,3,3,6,60112,7
2,2,2,3,3,38989,13
2,2,1,2,5,16932,4
2,3,3,3,6,74153,10
1,1,3,1,4,84253,1
1,1,3,1,4,97676,0
1,2,3,2,7,92662,4
1,2,2,3,4,59268,9
2,3,2,2,6,37187,4
2,3,3,3,6,88569,9
2,2,2,3,3,35750,14
2,2,2,3,3,49951,14
2,2,2,3,3,51958,8
2,2,1,2,4,13533,4
2,3,2,2,4,57285,4
2,3,3,3,5,64160,13
1,1,3,1,5,92199,0
1,3,2,2,6,40668,4
1,1,3,1,3,61812,0
1,1,1,1,1,28195,1
2,1,1,1,2,21089,0
1,1,3,1,5,60923,0
1,1,1,1,2,20054,1
2,3,3,3,7,88580,14
1,2,2,3,4,34002,8
2,3,2,2,4,46585,4
2,2,2,3,3,51615,9
1,1,3,1,4,60875,1
1,1,1,1,1,15272,0
1,1,1,1,2,25463,1
2,3,3,3,5,83896,12
2,1,1,1,2,21031,1
2,2,1,2,4,27845,4
2,2,1,2,5,11373,4
2,2,1,2,4,19813,5
2,3,2,2,2,35720,5
2,3,2,2,6,45347,3
2,2,2,3,3,51821,12
1,2,2,3,3,31986,12
1,1,1,1,2,17595,1
2,2,2,3,3,50257,10
1,1,3,1,5,99138,0
2,2,1,2,4,27433,4
2,1,1,1,1,14335,1
2,3,2,2,2,50255,4
2,3,3,3,5,82450,12
2,1,1,1,2,19270,0
2,2,1,2,4,29641,3
2,1,1,1,2,10251,1
1,1,3,1,3,93997,1
2,1,1,1,1,17904,0
1,2,3,2,6,84607,3
1,1,3,1,5,84217,0
2,2,2,3,1,37117,10
2,2,1,2,5,23643,3
2,3,3,3,6,79596,9
1,2,2,3,1,54791,11
2,2,1,2,3,19028,5
2,3,2,2,4,47908,3
1,1,3,1,3,64830,0
2,2,2,3,4,35918,13
2,2,2,3,1,57925,9
2,3,2,2,6,36961,5
1,3,2,2,4,43441,5
1,2,2,3,3,46380,11
1,3,2,2,6,48042,4
2,3,3,3,7,60658,10
2,2,1,2,3,26265,5
1,3,2,2,4,46665,3
2,3,3,3,5,92628,10
2,3,3,3,7,87639,11
2,1,1,1,1,19284,1
2,3,2,2,6,36340,5
2,3,3,3,6,72747,14
1,2,2,3,1,52159,13
2,2,1,2,4,10783,5
2,1,1,1,1,22129,0
2,2,2,3,4,35586,13
2,3,2,2,2,34858,4
1,1,1,1,2,19870,0
2,2,1,2,5,28155,4
2,2,1,2,5,16650,3
2,1,1,1,2,15629,0
2,1,1,1,2,19505,0
2,2,1,2,3,10073,3
1,1,3,1,3,82426,1
1,1,3,1,5,80824,0
1,1,3,1,5,81951,1
1,1,1,1,2,11440,0
2,1,1,1,2,12134,0
1,2,3,2,7,78285,5
1,1,3,1,3,97802,1
1,1,1,1,2,21867,1
2,1,1,1,2,16905,0
2,3,2,2,2,51779,5
2,3,2,2,4,57402,3
1,3,2,2,2,40153,5
1,2,3,2,7,66309,4
2,1,1,1,1,26906,0
2,2,2,3,1,50688,12
1,1,1,1,2,18093,1
1,2,2,3,1,30915,14
2,2,1,2,3,10462,4
2,3,3,3,5,86004,10
1,2,2,3,4,55071,13
2,3,2,2,2,42221,3
2,3,2,2,4,44323,3
2,1,1,1,1,28862,1
1,2,3,2,6,79013,5
1,1,3,1,5,72629,0
1,1,1,1,2,23848,1
1,3,2,2,6,52766,4
1,2,3,2,7,64256,5
1,2,2,3,3,34574,10
2,2,2,3,4,55465,14
1,2,3,2,6,83177,4
1,1,1,1,2,23647,0
2,2,2,3,4,34521,12
1,3,2,2,4,59365,5
2,3,3,3,6,86370,7
1,2,2,3,4,42369,12
2,3,3,3,7,92988,13
1,1,3,1,3,66855,0
2,3,2,2,6,50375,5
1,1,1,1,2,28830,0
1,2,3,2,7,77595,3
2,3,2,2,2,44632,4
1,1,1,1,1,22309,1
1,1,1,1,2,17405,1
2,3,2,2,6,36167,4
1,3,2,2,4,30969,3
1,3,2,2,4,52108,3
1,2,3,2,6,89449,3
1,1,1,1,1,21656,0
1,3,2,2,2,39863,5
2,3,2,2,4,58922,5
1,1,3,1,3,73373,1
1,1,3,1,5,61635,1
1,2,2,3,4,52661,9
2,1,1,1,2,29718,1
2,2,1,2,3,21385,4
2,1,1,1,1,19733,0
1,2,2,3,3,50438,8
1,2,3,2,7,91618,4
1,1,1,1,2,26729,1
1,1,3,1,3,81450,1
2,2,1,2,3,14610,4
2,2,1,2,5,28029,4
1,2,2,3,3,31042,13
1,1,1,1,1,14802,0
2,2,1,2,4,13727,5
2,3,3,3,6,95352,8
1,1,3,1,3,62308,1
1,3,2,2,4,46421,3
2,1,1,1,1,12136,1
2,2,2,3,1,31061,9
2,3,2,2,2,31571,4
1,2,2,3,4,41551,10
2,1,1,1,1,16997,0
1,1,1,1,1,17851,0
2,3,2,2,6,44344,4
1,3,2,2,6,58199,4
1,1,3,1,5,62227,1
1,1,1,1,1,22319,1
1,1,3,1,3,74266,1
1,2,3,2,6,65754,5
2,1,1,1,1,20165,0
1,1,3,1,5,62841,1
1,2,2,3,3,41549,11
2,3,3,3,5,95690,8
2,1,1,1,1,29384,0
1,2,3,2,7,75898,3
1,2,2,3,4,55166,9
2,3,3,3,7,63909,7
2,3,2,2,2,35010,5
1,2,3,2,7,80453,3
1,1,1,1,1,22580,0
2,2,2,3,1,42349,11
2,3,2,2,2,31644,5
1,1,3,1,4,86918,1
2,2,1,2,5,10517,5
2,2,2,3,3,33218,8
1,1,1,1,1,25369,0
2,3,3,3,7,98298,7
2,2,1,2,5,23660,4
2,2,1,2,4,23945,3
2,3,3,3,6,95540,8
1,2,3,2,7,66554,5
1,1,3,1,4,85076,0
1,2,2,3,4,30458,13
2,3,2,2,6,39914,3
2,2,2,3,4,50233,9
2,2,1,2,3,19528,4
1,2,3,2,6,97047,4
2,1,1,1,1,19571,0
1,1,3,1,4,82306,1
1,2,3,2,6,98310,4
1,2,3,2,6,76045,3
2,2,1,2,4,13294,3
2,2,1,2,5,13001,4
1,2,2,3,4,39644,13
1,2,3,2,6,99916,3
1,1,1,1,1,26372,1
2,2,1,2,5,27819,3
1,2,3,2,6,71013,4
2,3,3,3,7,87956,7
1,3,2,2,4,50086,3
2,3,3,3,6,85328,12
2,3,3,3,5,75069,10
1,1,3,1,3,85063,0
1,1,3,1,4,75374,1
1,1,1,1,1,16699,0
1,1,1,1,1,22137,1
1,1,3,1,4,95741,1
2,2,2,3,1,48873,7
2,2,1,2,4,29692,4
1,1,3,1,3,83104,1
2,2,2,3,4,51594,11
1,2,2,3,1,50691,14
2,2,1,2,3,12871,3
1,3,2,2,2,55986,4
1,2,2,3,4,37066,8
2,3,3,3,7,68720,14
1,1,1,1,2,17078,0
2,3,2,2,6,45334,5
1,1,3,1,3,60209,0
1,2,2,3,3,42798,13
2,3,2,2,4,41370,3
1,2,2,3,4,35162,12
1,2,2,3,3,40191,14
1,2,3,2,6,76394,4
2,1,1,1,1,26943,1
2,2,1,2,5,12983,4
1,1,1,1,1,27160,0
2,2,1,2,4,22690,4
1,2,3,2,6,79163,4
2,1,1,1,2,26326,0
2,3,2,2,6,43563,4
2,3,3,3,7,64312,13
2,2,2,3,1,41581,12
1,2,3,2,6,83469,3
2,3,2,2,2,56473,3
1,3,2,2,2,50549,3
1,1,3,1,3,94657,1
1,1,1,1,2,11866,1
1,3,2,2,4,44813,4
2,3,2,2,2,41021,3
2,1,1,1,2,26836,1
2,3,2,2,6,31204,3
2,3,2,2,4,59731,4
1,2,2,3,4,45806,9
1,1,1,1,1,16487,0
1,2,2,3,4,36501,7
2,1,1,1,2,23259,0
2,3,2,2,2,45900,3
2,2,1,2,3,24292,5
1,3,2,2,2,35226,5
2,3,3,3,5,70444,7
2,2,1,2,3,25641,5
1,3,2,2,2,33219,3
2,3,3,3,5,79314,7
1,3,2,2,2,53944,4
1,2,2,3,3,36001,14
2,3,3,3,5,63471,9
2,2,2,3,3,59291,12
1,1,3,1,4,97960,1
1,3,2,2,2,43299,5
2,2,1,2,4,18548,4
1,3,2,2,4,58225,4
1,2,2,3,1,57201,14
2,3,3,3,5,75928,12
2,2,2,3,1,49295,14
1,3,2,2,6,43420,5
2,1,1,1,1,10272,1
1,3,2,2,6,56812,3
2,1,1,1,1,21132,1
1,2,2,3,4,35428,12
2,3,2,2,2,35270,3
1,2,2,3,1,34873,9
2,2,2,3,1,31294,10
1,1,3,1,3,62543,1
1,3,2,2,6,32420,4
1,1,3,1,4,73731,0
1,1,3,1,3,83740,0
1,3,2,2,6,58552,3
1,3,2,2,6,57080,3
2,3,3,3,5,88903,11
2,3,2,2,6,48801,3
1,1,1,1,1,11961,1
1,2,2,3,1,56340,13
1,3,2,2,4,51004,3
2,2,2,3,4,59751,11
2,2,2,3,4,36748,9
1,1,1,1,2,15339,1
1,3,2,2,2,53531,3
1,2,3,2,7,80559,5
2,3,2,2,2,30269,3
1,1,3,1,5,78128,0
1,2,2,3,1,47905,7
2,1,1,1,2,20237,1
1,2,3,2,7,87023,4
1,2,3,2,6,91884,3
1,2,3,2,7,91782,4
2,2,1,2,4,28082,5
2,3,3,3,7,65287,14
1,1,1,1,1,16025,1
2,3,3,3,6,63158,8
2,3,3,3,6,63132,9
2,3,2,2,2,57108,5
2,1,1,1,2,24012,1
2,3,3,3,7,71273,7
2,3,2,2,2,45874,5
2,3,3,3,5,70349,12
1,2,3,2,7,60966,4
2,2,1,2,3,28808,5
1,3,2,2,2,38055,5
1,2,2,3,1,52913,9
2,3,3,3,7,65281,13
1,3,2,2,4,37188,4
1,2,3,2,6,63829,4
2,3,2,2,2,51082,5
1,1,3,1,3,66481,1
1,3,2,2,4,40231,5
2,2,1,2,4,17819,3
